Target Index,Mean of Means,Min,Max
0,0.2918,-7.2947,8.5368
1,0.0241,-0.4869,0.5146
2,100.0000,100.0000,100.0000
3,-0.0139,-0.5980,0.3536
4,-0.0003,-0.0162,0.0144
5,-2.4877,-2.5305,-2.4431
6,40812.7070,39901.6367,41609.2344
8,0.0043,-0.0936,0.0923
